data_inversa,horario,br,km,municipio,uf,tipo_acidente,causa_acidente,condicao_metereologica,data,hora
2025-01-03,07:08:00,101,86,BAYEUX,PB,Colisão traseira,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-03,7
2025-01-03,07:30:00,251,"356,9",FRUTA DE LEITE,MG,Tombamento,Reação tardia ou ineficiente do condutor,Nublado,2025-01-03,7
2025-01-03,06:30:00,232,276,SERTANIA,PE,Derramamento de carga,Carga excessiva e/ou mal acondicionada,Céu Claro,2025-01-03,6
2025-01-03,10:00:00,116,509,CAJATI,SP,Tombamento,Curva acentuada,Céu Claro,2025-01-03,10
2025-01-03,09:10:00,364,15,VILHENA,RO,Colisão lateral sentido oposto,Área urbana sem a presença de local apropriado para a travessia de pedestres,Nublado,2025-01-03,9
2025-01-03,11:05:00,232,"5,5",RECIFE,PE,Colisão lateral mesmo sentido,Manobra de mudança de faixa,Nublado,2025-01-03,11
2025-01-03,11:00:00,101,132,BALNEARIO CAMBORIU,SC,Colisão traseira,Reação tardia ou ineficiente do condutor,Sol,2025-01-03,11
2025-01-03,12:30:00,381,63,MAIRIPORA,SP,Colisão traseira,Reação tardia ou ineficiente do condutor,Nublado,2025-01-03,12
2025-01-03,10:40:00,153,84,PORANGATU,GO,Colisão traseira,Ausência de reação do condutor,Nublado,2025-01-03,10
2025-01-03,11:50:00,290,"472,4",ROSARIO DO SUL,RS,Colisão lateral mesmo sentido,Ausência de reação do condutor,Céu Claro,2025-01-03,11
2025-01-03,12:20:00,101,"24,7",ESPLANADA,BA,Colisão com objeto,Ausência de reação do condutor,Céu Claro,2025-01-03,12
2025-01-03,13:12:00,277,"451,5",LARANJEIRAS DO SUL,PR,Colisão transversal,Desrespeitar a preferência no cruzamento,Céu Claro,2025-01-03,13
2025-01-03,10:50:00,101,"40,8",JOINVILLE,SC,Colisão traseira,Estacionar ou parar em local proibido,Sol,2025-01-03,10
2025-01-03,11:30:00,158,"131,3",APARECIDA DO TABOADO,MS,Colisão frontal,Ultrapassagem Indevida,Céu Claro,2025-01-03,11
2025-01-03,14:30:00,101,80,BARRA VELHA,SC,Colisão lateral mesmo sentido,Ausência de reação do condutor,Céu Claro,2025-01-03,14
2025-01-03,14:30:00,40,590,ITABIRITO,MG,Colisão com objeto,Velocidade Incompatível,Chuva,2025-01-03,14
2025-01-03,12:50:00,101,501,ANGRA DOS REIS,RJ,Tombamento,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-03,12
2025-01-03,17:00:00,101,301,VIANA,ES,Colisão traseira,Demais falhas mecânicas ou elétricas,Nublado,2025-01-03,17
2025-01-03,07:30:00,116,578,BREJOES,BA,Tombamento,Demais falhas na via,Céu Claro,2025-01-03,7
2025-01-03,16:40:00,116,144,DUQUE DE CAXIAS,RJ,Queda de ocupante de veículo,Condutor deixou de manter distância do veículo da frente,Céu Claro,2025-01-03,16
2025-01-03,17:30:00,101,"291,8",CARIACICA,ES,Colisão traseira,Manobra de mudança de faixa,Ignorado,2025-01-03,17
2025-01-03,14:45:00,381,181,GOVERNADOR VALADARES,MG,Colisão frontal,Transitar na contramão,Nublado,2025-01-03,14
2025-01-03,16:24:00,364,250,JUSCIMEIRA,MT,Colisão traseira,Ausência de reação do condutor,Céu Claro,2025-01-03,16
2025-01-03,17:20:00,116,441,REGISTRO,SP,Saída de leito carroçável,Manobra de mudança de faixa,Nublado,2025-01-03,17
2025-01-03,10:30:00,429,86,ALVORADA DOESTE,RO,Tombamento,Demais falhas mecânicas ou elétricas,Céu Claro,2025-01-03,10
2025-01-03,20:00:00,110,389,SAO SEBASTIAO DO PASSE,BA,Colisão traseira,Ausência de reação do condutor,Céu Claro,2025-01-03,20
2025-01-03,19:40:00,101,501,ANGRA DOS REIS,RJ,Colisão frontal,Ultrapassagem Indevida,Céu Claro,2025-01-03,19
2025-01-03,17:05:00,116,18,SAPUCAIA,RJ,Tombamento,Velocidade Incompatível,Nublado,2025-01-03,17
2025-01-03,21:30:00,40,108,DUQUE DE CAXIAS,RJ,Colisão traseira,Condutor deixou de manter distância do veículo da frente,Ignorado,2025-01-03,21
2025-01-03,17:50:00,153,"219,4",FRUTAL,MG,Colisão frontal,Transitar na contramão,Chuva,2025-01-03,17
2025-01-03,23:00:00,381,"618,1",OLIVEIRA,MG,Saída de leito carroçável,Ausência de reação do condutor,Nublado,2025-01-03,23
2025-01-04,00:15:00,356,69,ITAPERUNA,RJ,Colisão traseira,Ausência de reação do condutor,Garoa/Chuvisco,2025-01-04,0
2025-01-03,23:00:00,116,"802,8",ALEM PARAIBA,MG,Colisão lateral sentido oposto,Ingestão de álcool pelo condutor,Chuva,2025-01-03,23
2025-01-04,02:46:00,116,313,RESENDE,RJ,Saída de leito carroçável,Condutor Dormindo,Nublado,2025-01-04,2
2025-01-04,02:50:00,101,"157,7",PORTO BELO,SC,Queda de ocupante de veículo,Ausência de reação do condutor,Nublado,2025-01-04,2
2025-01-03,22:45:00,158,"419,5",SAO GABRIEL,RS,Colisão traseira,Ausência de reação do condutor,Céu Claro,2025-01-03,22
2025-01-04,02:15:00,262,549,LUZ,MG,Colisão lateral sentido oposto,Ausência de reação do condutor,Chuva,2025-01-04,2
2025-01-04,03:15:00,277,54,SAO JOSE DOS PINHAIS,PR,Colisão traseira,Ausência de reação do condutor,Céu Claro,2025-01-04,3
2025-01-04,03:40:00,285,"182,8",CAPAO BONITO DO SUL,RS,Saída de leito carroçável,Ausência de reação do condutor,Céu Claro,2025-01-04,3
2025-01-04,05:40:00,116,"908,1",CANDIDO SALES,BA,Colisão frontal,Condutor Dormindo,Nublado,2025-01-04,5
2025-01-04,08:30:00,369,422,UBIRATA,PR,Colisão traseira,Acessar a via sem observar a presença dos outros veículos,Sol,2025-01-04,8
2025-01-04,07:45:00,365,409,PATOS DE MINAS,MG,Saída de leito carroçável,Pista Escorregadia,Chuva,2025-01-04,7
2025-01-04,11:00:00,153,"31,2",SANTO ANTONIO DA PLATINA,PR,Colisão transversal,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-04,11
2025-01-04,09:00:00,251,"472,9",FRANCISCO SA,MG,Colisão lateral sentido oposto,Chuva,Chuva,2025-01-04,9
2025-01-04,09:00:00,364,"275,5",JACIARA,MT,Engavetamento,Demais falhas mecânicas ou elétricas,Nublado,2025-01-04,9
2025-01-04,11:20:00,116,567,BARRA DO TURVO,SP,Colisão traseira,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-04,11
2025-01-04,07:30:00,116,528,ITATIM,BA,Colisão lateral sentido oposto,Manobra de mudança de faixa,Sol,2025-01-04,7
2025-01-04,12:20:00,10,458,PALMAS,TO,Queda de ocupante de veículo,Acumulo de água sobre o pavimento,Chuva,2025-01-04,12
2025-01-04,12:39:00,116,784,PLANALTO,BA,Colisão transversal,Acessar a via sem observar a presença dos outros veículos,Céu Claro,2025-01-04,12
2025-01-04,14:10:00,153,"22,9",NOVA GRANADA,SP,Incêndio,Demais falhas mecânicas ou elétricas,Nublado,2025-01-04,14
2025-01-04,15:00:00,386,435,NOVA SANTA RITA,RS,Colisão transversal,Ausência de reação do condutor,Céu Claro,2025-01-04,15
2025-01-04,14:50:00,116,133,MAGE,RJ,Colisão traseira,Reação tardia ou ineficiente do condutor,Sol,2025-01-04,14
2025-01-04,16:35:00,116,310,ITAMBACURI,MG,Colisão lateral mesmo sentido,Transitar no Acostamento,Céu Claro,2025-01-04,16
2025-01-04,14:30:00,230,"162,7",CAMPINA GRANDE,PB,Engavetamento,Condutor deixou de manter distância do veículo da frente,Sol,2025-01-04,14
2025-01-04,16:45:00,104,"109,9",LAGOA SECA,PB,Colisão traseira,Condutor deixou de manter distância do veículo da frente,Céu Claro,2025-01-04,16
2025-01-04,18:40:00,116,"373,7",LAMARAO,BA,Colisão frontal,Transitar na contramão,Céu Claro,2025-01-04,18
2025-01-04,19:30:00,262,"417,5",PARA DE MINAS,MG,Atropelamento de Pedestre,Pedestre - Ingestão de álcool/ substâncias psicoativas,Nublado,2025-01-04,19
2025-01-04,16:50:00,116,"629,5",ORIZANIA,MG,Colisão traseira,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-04,16
2025-01-04,18:30:00,428,22,CABROBO,PE,Colisão frontal,Transitar na contramão,Nublado,2025-01-04,18
2025-01-04,21:00:00,277,"422,8",CANTAGALO,PR,Colisão frontal,Ingestão de álcool pelo condutor,Céu Claro,2025-01-04,21
2025-01-04,22:00:00,116,"53,3",LORENA,SP,Capotamento,Ausência de reação do condutor,Nublado,2025-01-04,22
2025-01-05,00:45:00,50,"188,6",UBERABA,MG,Colisão traseira,Ausência de reação do condutor,Céu Claro,2025-01-05,0
2025-01-04,23:40:00,116,512,FEIRA DE SANTANA,BA,Colisão com objeto,Ausência de reação do condutor,Céu Claro,2025-01-04,23
2025-01-05,06:40:00,116,232,PIRAI,RJ,Colisão transversal,Ausência de reação do condutor,Nublado,2025-01-05,6
2025-01-05,04:36:00,364,"277,6",PRESIDENTE MEDICI,RO,Colisão transversal,Acessar a via sem observar a presença dos outros veículos,Ignorado,2025-01-05,4
2025-01-05,07:30:00,386,402,TRIUNFO,RS,Atropelamento de Pedestre,Pedestre andava na pista,Céu Claro,2025-01-05,7
2025-01-05,10:00:00,222,"214,8",FORQUILHA,CE,Queda de ocupante de veículo,Afundamento ou ondulação no pavimento,Nublado,2025-01-05,10
2025-01-05,11:00:00,116,805,ALEM PARAIBA,MG,Colisão lateral mesmo sentido,Ausência de reação do condutor,Céu Claro,2025-01-05,11
2025-01-05,12:30:00,287,"354,4",JAGUARI,RS,Saída de leito carroçável,Velocidade Incompatível,Céu Claro,2025-01-05,12
2025-01-05,07:30:00,101,398,IBIRAPITANGA,BA,Saída de leito carroçável,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-05,7
2025-01-05,14:26:00,174,478,COMODORO,MT,Colisão frontal,Acumulo de água sobre o pavimento,Chuva,2025-01-05,14
2025-01-05,14:15:00,356,"279,3",EUGENOPOLIS,MG,Tombamento,Velocidade Incompatível,Nublado,2025-01-05,14
2025-01-05,15:50:00,470,"80,2",RODEIO,SC,Saída de leito carroçável,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-05,15
2025-01-05,11:40:00,20,58,SAO DESIDERIO,BA,Colisão lateral sentido oposto,Reação tardia ou ineficiente do condutor,Nublado,2025-01-05,11
2025-01-05,18:00:00,101,677,ITAGIMIRIM,BA,Colisão lateral mesmo sentido,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-05,18
2025-01-05,19:05:00,267,240,NOVA ALVORADA DO SUL,MS,Colisão com objeto,Manobra de mudança de faixa,Céu Claro,2025-01-05,19
2025-01-05,20:03:00,101,3,MATARACA,PB,Atropelamento de Animal,Animais na Pista,Céu Claro,2025-01-05,20
2025-01-05,16:15:00,101,914,NOVA VICOSA,BA,Colisão traseira,Condutor deixou de manter distância do veículo da frente,Nublado,2025-01-05,16
2025-01-05,22:00:00,393,"11,2",MUQUI,ES,Colisão traseira,Condutor deixou de manter distância do veículo da frente,Céu Claro,2025-01-05,22
2025-01-05,23:50:00,324,621,SALVADOR,BA,Tombamento,Velocidade Incompatível,Céu Claro,2025-01-05,23
2025-01-06,00:00:00,232,178,BELO JARDIM,PE,Colisão frontal,Ultrapassagem Indevida,Céu Claro,2025-01-06,0
2025-01-06,03:50:00,277,"173,3",PALMEIRA,PR,Colisão frontal,Transitar na contramão,Nublado,2025-01-06,3
2025-01-06,07:20:00,381,65,MAIRIPORA,SP,Colisão lateral mesmo sentido,Demais falhas mecânicas ou elétricas,Sol,2025-01-06,7
2025-01-06,07:00:00,116,664,JEQUIE,BA,Colisão frontal,Ultrapassagem Indevida,Céu Claro,2025-01-06,7
2025-01-06,06:55:00,116,"891,5",CANDIDO SALES,BA,Colisão lateral mesmo sentido,Ultrapassagem Indevida,Céu Claro,2025-01-06,6
2025-01-06,08:40:00,101,323,NITEROI,RJ,Colisão traseira,Ausência de reação do condutor,Céu Claro,2025-01-06,8
2025-01-06,09:00:00,470,"49,1",BLUMENAU,SC,Engavetamento,Condutor deixou de manter distância do veículo da frente,Céu Claro,2025-01-06,9
2025-01-06,07:40:00,277,"473,8",NOVA LARANJEIRAS,PR,Tombamento,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-06,7
2025-01-06,12:05:00,386,"38,2",FREDERICO WESTPHALEN,RS,Colisão transversal,Acessar a via sem observar a presença dos outros veículos,Sol,2025-01-06,12
2025-01-06,10:30:00,158,"33,8",PARANAIBA,MS,Saída de leito carroçável,Demais falhas mecânicas ou elétricas,Céu Claro,2025-01-06,10
2025-01-06,12:00:00,116,164,JACAREI,SP,Colisão lateral mesmo sentido,Frear bruscamente,Céu Claro,2025-01-06,12
2025-01-06,09:15:00,282,"339,8",CAMPOS NOVOS,SC,Colisão transversal,Desrespeitar a preferência no cruzamento,Sol,2025-01-06,9
2025-01-06,11:45:00,153,237,COLINAS DO TOCANTINS,TO,Colisão lateral sentido oposto,Ultrapassagem Indevida,Céu Claro,2025-01-06,11
2025-01-06,11:40:00,386,140,SARANDI,RS,Colisão frontal,Ultrapassagem Indevida,Céu Claro,2025-01-06,11
2025-01-06,10:50:00,277,364,GUARAPUAVA,PR,Saída de leito carroçável,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-06,10
2025-01-06,11:45:00,50,203,DELTA,MG,Colisão traseira,Condutor deixou de manter distância do veículo da frente,Céu Claro,2025-01-06,11
2025-01-06,13:10:00,277,"3,5",PARANAGUA,PR,Colisão transversal,Desrespeitar a preferência no cruzamento,Céu Claro,2025-01-06,13
2025-01-06,12:00:00,376,"463,1",PONTA GROSSA,PR,Tombamento,Velocidade Incompatível,Céu Claro,2025-01-06,12
2025-01-06,10:40:00,116,395,GOVERNADOR VALADARES,MG,Colisão transversal,Ultrapassagem Indevida,Céu Claro,2025-01-06,10
2025-01-06,11:30:00,101,356,WENCESLAU GUIMARAES,BA,Tombamento,Velocidade Incompatível,Céu Claro,2025-01-06,11
2025-01-06,14:10:00,153,135,PRATA,MG,Saída de leito carroçável,Reação tardia ou ineficiente do condutor,Nublado,2025-01-06,14
2025-01-06,11:35:00,158,"136,6",APARECIDA DO TABOADO,MS,Colisão frontal,Velocidade Incompatível,Chuva,2025-01-06,11
2025-01-06,14:00:00,285,"202,3",LAGOA VERMELHA,RS,Colisão frontal,Ultrapassagem Indevida,Céu Claro,2025-01-06,14
2025-01-06,15:30:00,101,"173,8",ARACRUZ,ES,Colisão frontal,Transitar na contramão,Nublado,2025-01-06,15
2025-01-06,14:20:00,116,"480,5",DOM CAVATI,MG,Colisão traseira,Condutor deixou de manter distância do veículo da frente,Chuva,2025-01-06,14
2025-01-06,07:55:00,101,"118,9",ITAJAI,SC,Colisão traseira,Reação tardia ou ineficiente do condutor,Sol,2025-01-06,7
2025-01-06,16:00:00,40,"783,5",JUIZ DE FORA,MG,Saída de leito carroçável,Condutor Dormindo,Nublado,2025-01-06,16
2025-01-06,16:00:00,470,"54,1",BLUMENAU,SC,Colisão transversal,Acessar a via sem observar a presença dos outros veículos,Céu Claro,2025-01-06,16
2025-01-06,15:20:00,101,398,ITAGUAI,RJ,Colisão traseira,Condutor Dormindo,Céu Claro,2025-01-06,15
2025-01-06,16:30:00,20,"150,5",FLORES DE GOIAS,GO,Colisão frontal,Demais falhas mecânicas ou elétricas,Nublado,2025-01-06,16
2025-01-06,15:30:00,373,453,CHOPINZINHO,PR,Colisão transversal,Acessar a via sem observar a presença dos outros veículos,Céu Claro,2025-01-06,15
2025-01-06,16:30:00,116,179,BELFORD ROXO,RJ,Colisão traseira,Ausência de reação do condutor,Céu Claro,2025-01-06,16
2025-01-06,13:00:00,262,"583,3",CAMPOS ALTOS,MG,Tombamento,Ultrapassagem Indevida,Sol,2025-01-06,13
2025-01-06,16:15:00,101,76,ARAQUARI,SC,Incêndio,Demais falhas mecânicas ou elétricas,Céu Claro,2025-01-06,16
2025-01-06,17:20:00,104,"132,5",QUEIMADAS,PB,Saída de leito carroçável,Demais falhas mecânicas ou elétricas,Céu Claro,2025-01-06,17
2025-01-06,15:00:00,251,"354,1",PADRE CARVALHO,MG,Tombamento,Reação tardia ou ineficiente do condutor,Nublado,2025-01-06,15
2025-01-06,18:25:00,116,462,SANTO ESTEVAO,BA,Colisão lateral mesmo sentido,Acessar a via sem observar a presença dos outros veículos,Céu Claro,2025-01-06,18
2025-01-06,18:00:00,101,"375,3",ICARA,SC,Colisão lateral mesmo sentido,Manobra de mudança de faixa,Céu Claro,2025-01-06,18
2025-01-06,12:30:00,349,1007,CORRENTINA,BA,Saída de leito carroçável,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-06,12
2025-01-06,13:00:00,40,"258,5",SAO GONCALO DO ABAETE,MG,Atropelamento de Pedestre,Pedestre andava na pista,Céu Claro,2025-01-06,13
2025-01-06,19:30:00,101,"145,7",ESTANCIA,SE,Queda de ocupante de veículo,Afundamento ou ondulação no pavimento,Céu Claro,2025-01-06,19
2025-01-06,20:05:00,232,251,ARCOVERDE,PE,Tombamento,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-06,20
2025-01-06,20:00:00,153,129,PRATA,MG,Colisão traseira,Chuva,Chuva,2025-01-06,20
2025-01-06,21:20:00,277,"2,1",PARANAGUA,PR,Colisão transversal,Desrespeitar a preferência no cruzamento,Nublado,2025-01-06,21
2025-01-06,19:20:00,70,300,PRIMAVERA DO LESTE,MT,Eventos atípicos,Demais falhas mecânicas ou elétricas,Nevoeiro/Neblina,2025-01-06,19
2025-01-06,18:50:00,70,126,GENERAL CARNEIRO,MT,Atropelamento de Pedestre,Pedestre andava na pista,Nublado,2025-01-06,18
2025-01-06,22:40:00,40,7,BRASILIA,DF,Colisão lateral mesmo sentido,Acessar a via sem observar a presença dos outros veículos,Céu Claro,2025-01-06,22
2025-01-06,21:00:00,153,210,TIBAGI,PR,Colisão frontal,Transitar na contramão,Céu Claro,2025-01-06,21
2025-01-06,19:15:00,174,314,CARACARAI,RR,Atropelamento de Pedestre,Pedestre - Ingestão de álcool/ substâncias psicoativas,Céu Claro,2025-01-06,19
2025-01-06,08:40:00,324,610,SIMOES FILHO,BA,Engavetamento,Problema com o freio,Céu Claro,2025-01-06,8
2025-01-06,23:54:00,116,75,QUATRO BARRAS,PR,Colisão com objeto,Objeto estático sobre o leito carroçável,Nublado,2025-01-06,23
2025-01-07,02:00:00,116,440,REGISTRO,SP,Atropelamento de Pedestre,Pedestre cruzava a pista fora da faixa,Céu Claro,2025-01-07,2
2025-01-07,00:10:00,116,511,CAJATI,SP,Tombamento,Reação tardia ou ineficiente do condutor,Garoa/Chuvisco,2025-01-07,0
2025-01-07,06:40:00,470,56,BLUMENAU,SC,Incêndio,Demais falhas mecânicas ou elétricas,Céu Claro,2025-01-07,6
2025-01-07,05:00:00,407,175,PONTO NOVO,BA,Colisão traseira,Ausência de reação do condutor,Céu Claro,2025-01-07,5
2025-01-03,09:40:00,116,19,EUSEBIO,CE,Colisão lateral mesmo sentido,Manobra de mudança de faixa,Céu Claro,2025-01-03,9
2025-01-07,09:40:00,101,"124,9",ITAPORANGA DAJUDA,SE,Saída de leito carroçável,Mal súbito do condutor,Céu Claro,2025-01-07,9
2025-01-07,08:50:00,251,"288,6",SALINAS,MG,Incêndio,Demais falhas mecânicas ou elétricas,Céu Claro,2025-01-07,8
2025-01-06,11:30:00,40,"311,5",TRES MARIAS,MG,Colisão lateral mesmo sentido,Ingestão de álcool pelo condutor,Céu Claro,2025-01-06,11
2025-01-06,23:00:00,153,360,FORTALEZA DO TABOCAO,TO,Capotamento,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-06,23
2025-01-07,10:00:00,304,38,MOSSORO,RN,Colisão transversal,Condutor deixou de manter distância do veículo da frente,Céu Claro,2025-01-07,10
2025-01-07,08:10:00,101,149,JEQUIA DA PRAIA,AL,Tombamento,Velocidade Incompatível,Céu Claro,2025-01-07,8
2025-01-07,08:20:00,116,"52,4",LORENA,SP,Colisão traseira,Condutor Dormindo,Céu Claro,2025-01-07,8
2025-01-07,08:40:00,470,"109,3",APIUNA,SC,Colisão lateral sentido oposto,Ingestão de álcool pelo condutor,Céu Claro,2025-01-07,8
2025-01-07,10:45:00,393,"1,3",CACHOEIRO DE ITAPEMIRIM,ES,Colisão traseira,Ausência de reação do condutor,Céu Claro,2025-01-07,10
2025-01-07,12:30:00,116,493,RAFAEL JAMBEIRO,BA,Colisão traseira,Acessar a via sem observar a presença dos outros veículos,Céu Claro,2025-01-07,12
2025-01-07,10:00:00,50,"122,9",UBERABA,MG,Colisão lateral mesmo sentido,Reação tardia ou ineficiente do condutor,Nublado,2025-01-07,10
2025-01-07,12:55:00,381,363,JOAO MONLEVADE,MG,Colisão traseira,Ausência de reação do condutor,Garoa/Chuvisco,2025-01-07,12
2025-01-07,13:15:00,116,"505,5",PELOTAS,RS,Incêndio,Demais falhas mecânicas ou elétricas,Sol,2025-01-07,13
2025-01-07,10:40:00,163,146,ALTAMIRA,PA,Colisão com objeto,Objeto estático sobre o leito carroçável,Sol,2025-01-07,10
2025-01-07,13:20:00,386,"215,2",TIO HUGO,RS,Colisão transversal,Acessar a via sem observar a presença dos outros veículos,Céu Claro,2025-01-07,13
2025-01-07,12:10:00,116,221,GUARULHOS,SP,Queda de ocupante de veículo,Transtornos Mentais (exceto suicidio),Céu Claro,2025-01-07,12
2025-01-07,12:04:00,319,63,PORTO VELHO,RO,Atropelamento de Pedestre,Suicídio (presumido),Nublado,2025-01-07,12
